num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
,N,7,0.625,17.007,173.857,0.672,4.84E-12,4.27E-05,1.71E-05,1.06E-06,4.14E-05,0.327,0.338,62.607,16.9231,
,N,7,0.625,17.007,173.857,0.672,3.94E-12,4.42E-05,1.67E-05,9.79E-07,4.27E-05,0.33,0.341,62.256,16.9231,
,N,7,0.625,17.007,173.857,0.672,1.74E-12,4.15E-05,1.6E-05,5.93E-07,4.05E-05,0.347,0.355,61.585,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.61E-12,3.9E-05,1.64E-05,7.35E-07,3.81E-05,0.34,0.348,61.886,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.06E-12,3.81E-05,1.59E-05,6.21E-07,3.73E-05,0.345,0.351,61.828,9.2308,
,N,7,0.625,17.007,173.857,0.672,2.53E-12,4.33E-05,1.71E-05,7.63E-07,4.2E-05,0.339,0.347,61.868,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.15E-12,4.24E-05,1.64E-05,6.94E-07,4.12E-05,0.342,0.35,61.605,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.05E-12,4E-05,1.62E-05,6.62E-07,3.9E-05,0.343,0.351,61.576,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.1E-12,3.59E-05,1.43E-05,4.31E-07,3.5E-05,0.357,0.364,61.196,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.95E-12,4.09E-05,1.58E-05,6.27E-07,3.95E-05,0.345,0.353,61.622,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.54E-12,3.84E-05,1.59E-05,5.25E-07,3.75E-05,0.351,0.358,61.51,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.65E-12,4.07E-05,1.64E-05,5.9E-07,3.93E-05,0.347,0.356,61.492,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.49E-12,4.16E-05,1.61E-05,7.54E-07,4.03E-05,0.339,0.347,61.761,12.3077,
