num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
,,,,,,,2.275E-12,2.577E-05,7.304E-06,5.888E-07,2.422E-05,-0.347,-0.358,-61.973,-16.9231,
,,,,,,,2.764E-12,2.604E-05,7.587E-06,6.544E-07,2.456E-05,-0.343,-0.354,-62.165,-16.9231,
,,,,,,,3.529E-12,2.696E-05,7.733E-06,7.581E-07,2.528E-05,-0.338,-0.349,-62.349,-16.9231,
,,,,,,,3.019E-12,2.593E-05,7.489E-06,7.074E-07,2.446E-05,-0.34,-0.352,-62.14,-18.4615,
3,N,7,0.715,30.465,164.031,1.236,1.99E-12,4.077E-05,1.631E-05,6.566E-07,3.956E-05,0.344,0.353,61.478,13.8462,11.25772297
,,,,,,,1.132E-12,3.851E-05,1.52E-05,4.419E-07,3.736E-05,0.356,0.365,61.252,13.8462,
,,,,,,,2.015E-12,3.914E-05,1.52E-05,6.659E-07,3.782E-05,0.343,0.353,61.511,15.3846,
,,,,,,,2.066E-12,3.911E-05,1.632E-05,6.434E-07,3.832E-05,0.344,0.351,61.676,10.7692,
,,,,,,,5.46E-12,4.258E-05,1.734E-05,1.084E-06,4.136E-05,0.326,0.337,63.027,16.9231,
,,,,,,,1.876E-12,3.963E-05,1.641E-05,5.872E-07,3.87E-05,0.347,0.354,61.834,10.7692,
,,,,,,,1.117E-12,3.763E-05,1.583E-05,4.323E-07,3.679E-05,0.357,0.364,61.109,10.7692,
,,,,,,,3.326E-12,4.386E-05,1.789E-05,8.662E-07,4.258E-05,0.334,0.344,62.229,15.3846,
,,,,,,,8.033E-13,2.778E-05,1.255E-05,3.072E-07,2.755E-05,0.368,0.373,61.431,7.6923,
,,,,,,,1.266E-12,4.127E-05,1.633E-05,4.804E-07,3.949E-05,0.354,0.363,61.397,13.8462,
,,,,,,,4.041E-12,3.98E-05,1.596E-05,9.098E-07,3.868E-05,0.332,0.342,62.625,15.3846,
,,,,,,,1.229E-12,3.927E-05,1.568E-05,4.821E-07,3.83E-05,0.354,0.361,61.216,10.7692,
,,,,,,,1.769E-12,4.088E-05,1.648E-05,5.817E-07,3.975E-05,0.347,0.355,61.615,12.3077,
,,,,,,,4.353E-12,4.34E-05,1.615E-05,1.034E-06,4.155E-05,0.328,0.338,62.322,15.3846,
,,,,,,,8.513E-13,3.816E-05,1.491E-05,3.563E-07,3.733E-05,0.363,0.369,60.975,9.2308,
,,,,,,,2.698E-12,4.306E-05,1.645E-05,7.852E-07,4.116E-05,0.338,0.347,61.894,13.8462,
,,,,,,,2.832E-12,4.2E-05,1.768E-05,7.663E-07,4.094E-05,0.338,0.347,62.038,13.8462,
,,,,,,,2.841E-12,4.261E-05,1.72E-05,8.074E-07,4.141E-05,0.337,0.345,61.967,12.3077,
,,,,,,,3.14E-12,3.93E-05,1.49E-05,8.456E-07,3.78E-05,0.335,0.346,62.026,16.9231,
,,,,,,,1.759E-12,3.609E-05,1.385E-05,5.314E-07,3.506E-05,0.35,0.358,61.81,12.3077,
,,,,,,,1.382E-12,4.054E-05,1.488E-05,5.269E-07,3.864E-05,0.351,0.362,61.219,16.9231,
,,,,,,,2.043E-12,3.877E-05,1.562E-05,6.454E-07,3.785E-05,0.344,0.35,61.666,9.2308,
,,,,,,,2.518E-12,4.01E-05,1.642E-05,7.296E-07,3.921E-05,0.34,0.348,61.89,12.3077,
,,,,,,,2.916E-12,4.145E-05,1.638E-05,8.357E-07,4.014E-05,0.336,0.346,61.889,15.3846,
,,,,,,,1.629E-12,4.146E-05,1.605E-05,5.709E-07,4.029E-05,0.348,0.356,61.425,12.3077,
,,,,,,,9.595E-13,3.596E-05,1.493E-05,3.735E-07,3.513E-05,0.362,0.368,61.332,9.2308,
,,,,,,,1.416E-12,3.505E-05,1.499E-05,4.506E-07,3.451E-05,0.356,0.36,61.685,6.1538,
,,,,,,,5.35E-12,4.062E-05,1.664E-05,1.095E-06,3.952E-05,0.325,0.336,62.823,16.9231,
,,,,,,,4.984E-12,4.064E-05,1.646E-05,1.056E-06,3.956E-05,0.327,0.338,62.703,16.9231,
,,,,,,,1.025E-12,3.66E-05,1.508E-05,3.837E-07,3.599E-05,0.361,0.366,61.221,7.6923,
,,,,,,,1.099E-12,3.616E-05,1.449E-05,4.561E-07,3.497E-05,0.355,0.365,61.037,15.3846,
,,,,,,,1.19E-12,3.143E-05,1.423E-05,3.378E-07,3.105E-05,0.366,0.368,61.827,3.0769,
,,,,,,,2.987E-12,3.955E-05,1.612E-05,7.848E-07,3.86E-05,0.338,0.346,62.19,12.3077,
,,,,,,,2.298E-12,4.021E-05,1.514E-05,7.142E-07,3.891E-05,0.341,0.349,61.677,12.3077,
,,,,,,,1.667E-12,3.863E-05,1.535E-05,5.184E-07,3.753E-05,0.351,0.358,61.975,10.7692,
,,,,,,,1.303E-12,3.565E-05,1.524E-05,4.558E-07,3.484E-05,0.355,0.361,61.534,9.2308,
,,,,,,,3.453E-12,4.143E-05,1.661E-05,8.664E-07,4.023E-05,0.334,0.344,62.296,15.3846,
,,,,,,,1.347E-12,3.947E-05,1.612E-05,4.747E-07,3.862E-05,0.354,0.36,61.364,9.2308,
,,,,,,,6.829E-13,3.681E-05,1.338E-05,3.196E-07,3.492E-05,0.366,0.376,60.847,15.3846,
,,,,,,,2.067E-12,4.245E-05,1.59E-05,6.786E-07,4.071E-05,0.343,0.35,61.585,10.7692,
,,,,,,,2.842E-12,4.317E-05,1.612E-05,8.412E-07,4.171E-05,0.335,0.346,61.828,16.9231,
,,,,,,,2.369E-12,4.13E-05,1.691E-05,7.31E-07,4.013E-05,0.34,0.349,61.72,13.8462,
,,,,,,,1.19E-12,4.045E-05,1.638E-05,4.486E-07,3.931E-05,0.356,0.363,61.322,10.7692,
,,,,,,,4.865E-12,4.492E-05,1.732E-05,1.065E-06,4.331E-05,0.326,0.34,62.656,21.5385,
,,,,,,,2.282E-12,3.717E-05,1.526E-05,6.84E-07,3.642E-05,0.342,0.35,61.677,12.3077,
,,,,,,,2.327E-12,3.847E-05,1.649E-05,6.518E-07,3.773E-05,0.344,0.35,61.944,9.2308,
,,,,,,,3.054E-12,4.25E-05,1.665E-05,8.591E-07,4.12E-05,0.335,0.345,61.983,15.3846,
,,,,,,,2.141E-12,4.211E-05,1.572E-05,6.87E-07,3.969E-05,0.342,0.353,61.667,16.9231,
,,,,,,,1.899E-12,3.788E-05,1.543E-05,6.191E-07,3.705E-05,0.345,0.353,61.584,12.3077,
,,,,,,,1.43E-12,4.238E-05,1.642E-05,5.197E-07,4.083E-05,0.351,0.359,61.353,12.3077,
4,P,7,0.699,55.658,142.022,0.671,7.456E-12,2.809E-05,8.574E-06,1.033E-06,2.627E-05,-0.325,-0.339,-63.553,-21.5385,11.88209079
,,,,,,,3.904E-12,2.602E-05,7.524E-06,7.537E-07,2.45E-05,-0.338,-0.349,-62.85,-16.9231,
,,,,,,,2.184E-12,2.338E-05,6.818E-06,5.665E-07,2.203E-05,-0.348,-0.361,-61.88,-20,
,,,,,,,2.203E-12,2.197E-05,6.702E-06,5.349E-07,2.089E-05,-0.35,-0.362,-62.071,-18.4615,
,,,,,,,4.09E-12,2.674E-05,7.594E-06,8.181E-07,2.495E-05,-0.335,-0.348,-62.531,-20,
,,,,,,,3.998E-12,2.73E-05,8.199E-06,8.011E-07,2.568E-05,-0.336,-0.347,-62.625,-16.9231,
,,,,,,,3.079E-12,2.643E-05,7.98E-06,7.022E-07,2.491E-05,-0.341,-0.353,-62.363,-18.4615,
,,,,,,,1.744E-12,2.414E-05,6.601E-06,4.993E-07,2.261E-05,-0.353,-0.365,-61.668,-18.4615,
,,,,,,,5.257E-12,2.633E-05,7.462E-06,9.321E-07,2.449E-05,-0.329,-0.343,-62.749,-21.5385,
,,,,,,,4.032E-12,2.73E-05,7.612E-06,8.225E-07,2.547E-05,-0.335,-0.347,-62.521,-18.4615,
,,,,,,,2.33E-12,2.455E-05,6.912E-06,5.654E-07,2.295E-05,-0.348,-0.36,-62.093,-18.4615,
,,,,,,,1.972E-12,2.352E-05,7.112E-06,5.18E-07,2.226E-05,-0.351,-0.363,-61.864,-18.4615,
,,,,,,,1.476E-12,2.345E-05,6.867E-06,4.283E-07,2.215E-05,-0.358,-0.369,-61.802,-16.9231,
,,,,,,,4.842E-12,2.692E-05,7.917E-06,8.834E-07,2.525E-05,-0.332,-0.345,-62.798,-20,
,,,,,,,1.088E-12,2.16E-05,6.573E-06,3.611E-07,2.045E-05,-0.364,-0.375,-61.483,-16.9231,
,,,,,,,1.249E-12,2.266E-05,6.909E-06,3.783E-07,2.108E-05,-0.363,-0.374,-61.693,-16.9231,
,,,,,,,4.57E-12,2.703E-05,8.207E-06,8.606E-07,2.535E-05,-0.333,-0.347,-62.719,-21.5385,
,,,,,,,1.749E-12,2.522E-05,7.142E-06,4.723E-07,2.386E-05,-0.355,-0.365,-61.951,-15.3846,
,,,,,,,2.681E-12,2.508E-05,7.241E-06,6.289E-07,2.342E-05,-0.344,-0.357,-62.177,-20,
,,,,,,,3.066E-12,2.561E-05,7.366E-06,6.785E-07,2.407E-05,-0.342,-0.353,-62.211,-16.9231,
,,,,,,,3.775E-12,2.664E-05,7.569E-06,7.895E-07,2.472E-05,-0.336,-0.348,-62.394,-18.4615,
,,,,,,,3.492E-12,2.516E-05,7.144E-06,7.512E-07,2.323E-05,-0.338,-0.35,-62.354,-18.4615,
,,,,,,,2.531E-12,2.52E-05,7.428E-06,6.436E-07,2.36E-05,-0.344,-0.357,-61.952,-20,
,,,,,,,2.497E-12,2.601E-05,7.574E-06,6.209E-07,2.458E-05,-0.345,-0.356,-62.039,-16.9231,
,,,,,,,1.21E-12,2.239E-05,6.9E-06,3.726E-07,2.123E-05,-0.363,-0.374,-61.694,-16.9231,
,,,,,,,2.893E-12,2.694E-05,8.149E-06,6.622E-07,2.518E-05,-0.343,-0.354,-62.422,-16.9231,
,,,,,,,1.447E-12,2.082E-05,6.572E-06,4.236E-07,2.002E-05,-0.359,-0.37,-61.59,-16.9231,
,,,,,,,2.121E-12,2.214E-05,6.708E-06,4.994E-07,2.103E-05,-0.353,-0.364,-62.263,-16.9231,
,,,,,,,4.272E-12,2.727E-05,8.155E-06,8.418E-07,2.548E-05,-0.334,-0.347,-62.59,-20,
,,,,,,,3.259E-12,2.607E-05,7.531E-06,7.144E-07,2.451E-05,-0.34,-0.352,-62.292,-18.4615,
,,,,,,,1.953E-12,2.507E-05,6.934E-06,5.271E-07,2.327E-05,-0.351,-0.363,-61.867,-18.4615,
,,,,,,,1.129E-12,1.918E-05,6.188E-06,3.381E-07,1.857E-05,-0.367,-0.376,-61.71,-13.8462,
,,,,,,,2.3E-12,2.525E-05,7.385E-06,5.601E-07,2.377E-05,-0.348,-0.361,-62.259,-20,
,,,,,,,2.289E-12,2.374E-05,7.283E-06,5.572E-07,2.239E-05,-0.349,-0.361,-62.102,-18.4615,
,,,,,,,1.298E-12,2.145E-05,6.521E-06,3.949E-07,2.05E-05,-0.362,-0.372,-61.569,-15.3846,
,,,,,,,1.092E-12,2.187E-05,6.615E-06,3.524E-07,2.083E-05,-0.365,-0.376,-61.591,-16.9231,
,,,,,,,1.857E-12,2.497E-05,7.607E-06,4.813E-07,2.371E-05,-0.354,-0.365,-62.084,-16.9231,
,,,,,,,1.676E-12,2.309E-05,6.564E-06,5.021E-07,2.162E-05,-0.352,-0.365,-61.569,-20,
,,,,,,,1.389E-12,2.319E-05,6.943E-06,4.006E-07,2.191E-05,-0.361,-0.372,-61.918,-16.9231,
,,,,,,,4.822E-12,2.532E-05,7.69E-06,8.513E-07,2.394E-05,-0.333,-0.346,-62.913,-20,
,,,,,,,6.597E-13,1.995E-05,6.013E-06,2.53E-07,1.905E-05,-0.376,-0.386,-61.16,-15.3846,
,,,,,,,2.017E-12,2.424E-05,7.208E-06,5.434E-07,2.273E-05,-0.349,-0.361,-61.917,-18.4615,
,,,,,,,3.924E-12,2.309E-05,7.429E-06,7.355E-07,2.208E-05,-0.339,-0.35,-62.737,-16.9231,
,,,,,,,4.109E-12,2.775E-05,8.039E-06,8.197E-07,2.594E-05,-0.335,-0.348,-62.59,-20,
,,,,,,,1.923E-12,2.3E-05,6.98E-06,5.089E-07,2.191E-05,-0.352,-0.363,-61.862,-16.9231,
,,,,,,,1.277E-12,2.28E-05,6.527E-06,4.246E-07,2.134E-05,-0.359,-0.372,-61.271,-20,
,,,,,,,4.435E-12,2.728E-05,7.879E-06,8.348E-07,2.557E-05,-0.334,-0.346,-62.78,-18.4615,
,,,,,,,6.245E-12,2.761E-05,8.381E-06,9.759E-07,2.59E-05,-0.327,-0.342,-63.204,-23.0769,
,,,,,,,1.176E-12,2.132E-05,6.371E-06,3.913E-07,2.011E-05,-0.362,-0.375,-61.278,-20,
,,,,,,,2.197E-12,2.351E-05,7.052E-06,5.785E-07,2.215E-05,-0.347,-0.361,-61.857,-21.5385,
5,N,7,0.366,45.716,128.603,0.853,2.858E-12,4.367E-05,1.764E-05,8.211E-07,4.238E-05,0.336,0.345,61.946,13.8462,5.041096415
,,,,,,,2.162E-12,4.402E-05,1.7E-05,7.058E-07,4.268E-05,0.341,0.35,61.602,13.8462,
,,,,,,,2.052E-12,4.161E-05,1.613E-05,6.636E-07,4.045E-05,0.343,0.351,61.696,12.3077,
,,,,,,,2.819E-12,4.34E-05,1.724E-05,8.15E-07,4.215E-05,0.336,0.345,61.882,13.8462,
,,,,,,,2.931E-12,4.312E-05,1.74E-05,8.154E-07,4.188E-05,0.336,0.345,62.014,13.8462,
,,,,,,,2.487E-12,4.275E-05,1.69E-05,7.554E-07,4.151E-05,0.339,0.347,61.796,12.3077,
,,,,,,,4.102E-12,4.37E-05,1.742E-05,9.756E-07,4.238E-05,0.33,0.34,62.439,15.3846,
,,,,,,,1.514E-12,4.037E-05,1.539E-05,5.482E-07,3.933E-05,0.349,0.356,61.36,10.7692,
,,,,,,,2.451E-12,4.463E-05,1.699E-05,7.441E-07,4.319E-05,0.34,0.347,61.814,10.7692,
,,,,,,,1.398E-12,4.056E-05,1.584E-05,5.168E-07,3.956E-05,0.351,0.358,61.281,10.7692,
,,,,,,,2.543E-12,4.316E-05,1.701E-05,7.701E-07,4.189E-05,0.338,0.346,61.807,12.3077,
,,,,,,,2.332E-12,4.167E-05,1.621E-05,7.203E-07,4.05E-05,0.341,0.349,61.733,12.3077,
,,,,,,,2.823E-12,4.298E-05,1.699E-05,8.253E-07,4.172E-05,0.336,0.345,61.843,13.8462,
,,,,,,,2.059E-12,4.388E-05,1.696E-05,6.678E-07,4.256E-05,0.343,0.35,61.693,10.7692,
,,,,,,,2.35E-12,4.276E-05,1.648E-05,7.472E-07,4.13E-05,0.339,0.348,61.618,13.8462,
,,,,,,,1.799E-12,4.218E-05,1.634E-05,6.29E-07,4.094E-05,0.345,0.353,61.4,12.3077,
,,,,,,,1.553E-12,4.031E-05,1.565E-05,5.508E-07,3.914E-05,0.349,0.357,61.438,12.3077,
,,,,,,,2.268E-12,4.315E-05,1.619E-05,7.165E-07,4.176E-05,0.341,0.349,61.683,12.3077,
,,,,,,,1.614E-12,3.939E-05,1.561E-05,5.745E-07,3.847E-05,0.348,0.355,61.364,10.7692,
,,,,,,,2.822E-12,4.136E-05,1.658E-05,8.308E-07,4.025E-05,0.336,0.345,61.801,13.8462,
